algorithm,run_id,step,dataset_name,mean_action_dist,lambda
none,s65sh3d8,19,antmaze-large-diverse-v2,0.5754149556159973,1.0
none,s65sh3d8,20,antmaze-large-diverse-v2,0.6204144954681396,1.0
none,s65sh3d8,21,antmaze-large-diverse-v2,0.6420676708221436,1.0
none,s65sh3d8,22,antmaze-large-diverse-v2,0.6129121780395508,1.0
none,s65sh3d8,23,antmaze-large-diverse-v2,0.5913150906562805,1.0
none,s65sh3d8,24,antmaze-large-diverse-v2,0.6176391839981079,1.0
none,s65sh3d8,25,antmaze-large-diverse-v2,0.6290632486343384,1.0
none,s65sh3d8,26,antmaze-large-diverse-v2,0.5539358258247375,1.0
none,s65sh3d8,27,antmaze-large-diverse-v2,0.5858745574951172,1.0
none,s65sh3d8,28,antmaze-large-diverse-v2,0.5651277303695679,1.0
none,s65sh3d8,29,antmaze-large-diverse-v2,0.627240777015686,1.0
none,s65sh3d8,30,antmaze-large-diverse-v2,0.5443975329399109,1.0
none,s65sh3d8,31,antmaze-large-diverse-v2,0.6379328966140747,1.0
none,s65sh3d8,32,antmaze-large-diverse-v2,0.616943359375,1.0
none,s65sh3d8,33,antmaze-large-diverse-v2,0.5629892349243164,1.0
none,s65sh3d8,34,antmaze-large-diverse-v2,0.5880900621414185,1.0
none,s65sh3d8,35,antmaze-large-diverse-v2,0.6132291555404663,1.0
none,s65sh3d8,36,antmaze-large-diverse-v2,0.6121525764465332,1.0
none,s65sh3d8,37,antmaze-large-diverse-v2,0.5849075317382812,1.0
none,s65sh3d8,38,antmaze-large-diverse-v2,0.652001142501831,1.0
none,s65sh3d8,39,antmaze-large-diverse-v2,0.5938348770141602,1.0
none,s65sh3d8,40,antmaze-large-diverse-v2,0.6251410841941833,1.0
none,s65sh3d8,41,antmaze-large-diverse-v2,0.5967556238174438,1.0
none,s65sh3d8,42,antmaze-large-diverse-v2,0.6637537479400635,1.0
none,s65sh3d8,43,antmaze-large-diverse-v2,0.5606397986412048,1.0
none,s65sh3d8,44,antmaze-large-diverse-v2,0.626887857913971,1.0
none,s65sh3d8,45,antmaze-large-diverse-v2,0.6102867722511292,1.0
none,s65sh3d8,46,antmaze-large-diverse-v2,0.6057442426681519,1.0
none,s65sh3d8,47,antmaze-large-diverse-v2,0.6099237203598022,1.0
none,s65sh3d8,48,antmaze-large-diverse-v2,0.5931193232536316,1.0
none,s65sh3d8,49,antmaze-large-diverse-v2,0.6085391044616699,1.0
pbrl,z63ixzj9,0,antmaze-large-diverse-v2,1.1054730415344238,0.01
pbrl,z63ixzj9,1,antmaze-large-diverse-v2,1.0694971084594727,0.01
pbrl,z63ixzj9,2,antmaze-large-diverse-v2,1.0293958187103271,0.01
pbrl,z63ixzj9,3,antmaze-large-diverse-v2,0.9578939080238342,0.01
pbrl,z63ixzj9,4,antmaze-large-diverse-v2,0.9477559328079224,0.01
pbrl,z63ixzj9,5,antmaze-large-diverse-v2,0.9531413316726685,0.01
pbrl,z63ixzj9,6,antmaze-large-diverse-v2,1.0105255842208862,0.01
pbrl,z63ixzj9,7,antmaze-large-diverse-v2,0.9439546465873718,0.01
pbrl,z63ixzj9,8,antmaze-large-diverse-v2,0.9423732757568359,0.01
pbrl,z63ixzj9,9,antmaze-large-diverse-v2,0.9954136610031128,0.01
pbrl,z63ixzj9,10,antmaze-large-diverse-v2,0.9484784007072449,0.01
pbrl,z63ixzj9,11,antmaze-large-diverse-v2,0.9447747468948364,0.01
pbrl,z63ixzj9,12,antmaze-large-diverse-v2,1.0108639001846313,0.01
pbrl,z63ixzj9,13,antmaze-large-diverse-v2,0.969450831413269,0.01
pbrl,z63ixzj9,14,antmaze-large-diverse-v2,0.965746283531189,0.01
pbrl,z63ixzj9,15,antmaze-large-diverse-v2,0.8955663442611694,0.01
pbrl,z63ixzj9,16,antmaze-large-diverse-v2,0.9707320928573608,0.01
pbrl,z63ixzj9,17,antmaze-large-diverse-v2,0.9918773174285889,0.01
pbrl,z63ixzj9,18,antmaze-large-diverse-v2,1.0072071552276611,0.01
pbrl,z63ixzj9,19,antmaze-large-diverse-v2,0.9203247427940369,0.01
pbrl,z63ixzj9,20,antmaze-large-diverse-v2,0.9259790778160095,0.01
pbrl,z63ixzj9,21,antmaze-large-diverse-v2,0.9731539487838745,0.01
pbrl,z63ixzj9,22,antmaze-large-diverse-v2,0.9933122396469116,0.01
pbrl,z63ixzj9,23,antmaze-large-diverse-v2,0.943692684173584,0.01
pbrl,z63ixzj9,24,antmaze-large-diverse-v2,0.9005995392799377,0.01
pbrl,z63ixzj9,25,antmaze-large-diverse-v2,0.9914752244949341,0.01
pbrl,z63ixzj9,26,antmaze-large-diverse-v2,0.9161195755004883,0.01
pbrl,z63ixzj9,27,antmaze-large-diverse-v2,0.9002771377563477,0.01
pbrl,z63ixzj9,28,antmaze-large-diverse-v2,0.8792924880981445,0.01
pbrl,z63ixzj9,29,antmaze-large-diverse-v2,0.9672021865844727,0.01
pbrl,z63ixzj9,30,antmaze-large-diverse-v2,0.9394670724868774,0.01
pbrl,z63ixzj9,31,antmaze-large-diverse-v2,0.9464775919914246,0.01
pbrl,z63ixzj9,32,antmaze-large-diverse-v2,0.9616544246673584,0.01
pbrl,z63ixzj9,33,antmaze-large-diverse-v2,0.9307664632797241,0.01
pbrl,z63ixzj9,34,antmaze-large-diverse-v2,0.946861982345581,0.01
pbrl,z63ixzj9,35,antmaze-large-diverse-v2,0.9281325340270996,0.01
pbrl,z63ixzj9,36,antmaze-large-diverse-v2,0.9138288497924805,0.01
pbrl,z63ixzj9,37,antmaze-large-diverse-v2,0.8796964287757874,0.01
pbrl,z63ixzj9,38,antmaze-large-diverse-v2,0.8994839787483215,0.01
pbrl,z63ixzj9,39,antmaze-large-diverse-v2,0.865913987159729,0.01
pbrl,z63ixzj9,40,antmaze-large-diverse-v2,0.9140504598617554,0.01
pbrl,z63ixzj9,41,antmaze-large-diverse-v2,0.9577466249465942,0.01
pbrl,z63ixzj9,42,antmaze-large-diverse-v2,0.9226531386375427,0.01
pbrl,z63ixzj9,43,antmaze-large-diverse-v2,0.9522333741188049,0.01
pbrl,z63ixzj9,44,antmaze-large-diverse-v2,0.9262195825576782,0.01
pbrl,z63ixzj9,45,antmaze-large-diverse-v2,0.989567220211029,0.01
pbrl,z63ixzj9,46,antmaze-large-diverse-v2,0.8771125078201294,0.01
pbrl,z63ixzj9,47,antmaze-large-diverse-v2,0.9098182320594788,0.01
pbrl,z63ixzj9,48,antmaze-large-diverse-v2,0.9469889402389526,0.01
pbrl,z63ixzj9,49,antmaze-large-diverse-v2,0.9093992710113525,0.01
none,g80s8lwg,0,antmaze-large-diverse-v2,0.7753359079360962,1.0
none,g80s8lwg,1,antmaze-large-diverse-v2,0.49750784039497375,1.0
none,g80s8lwg,2,antmaze-large-diverse-v2,0.5122656226158142,1.0
none,g80s8lwg,3,antmaze-large-diverse-v2,0.523143470287323,1.0
none,g80s8lwg,4,antmaze-large-diverse-v2,0.5169084072113037,1.0
none,g80s8lwg,5,antmaze-large-diverse-v2,0.5566222667694092,1.0
none,g80s8lwg,6,antmaze-large-diverse-v2,0.5163477063179016,1.0
none,g80s8lwg,7,antmaze-large-diverse-v2,0.4372294247150421,1.0
none,g80s8lwg,8,antmaze-large-diverse-v2,0.4724119305610657,1.0
none,g80s8lwg,9,antmaze-large-diverse-v2,0.49647223949432373,1.0
none,g80s8lwg,10,antmaze-large-diverse-v2,0.4964463710784912,1.0
none,g80s8lwg,11,antmaze-large-diverse-v2,0.45361101627349854,1.0
none,g80s8lwg,12,antmaze-large-diverse-v2,0.5115068554878235,1.0
none,g80s8lwg,13,antmaze-large-diverse-v2,0.5599179267883301,1.0
none,g80s8lwg,14,antmaze-large-diverse-v2,0.5783615112304688,1.0
