run_id,run_name,lr,log,seed,gamma,prior,beta_id,dataset,actor_lr,algorithm,batch_size,checkpoint,wandb_team,critic_norm,num_critics,num_updates,pi_operator,wandb_group,action_scale,critic_depth,dataset_name,eval_workers,log_q_values,num_eval_eps,eval_interval,pretrain_loss,wandb_project,checkpoint_dir,dataset_source,reg_lagrangian,shared_targets,awr_temperature,awr_weight_clip,no_entropy_bonus,polyak_step_size,pretrain_updates,actor_lcb_penalty,critic_lagrangian,critic_regularizer,eval_final_episodes,pretrain_lagrangian,ensemble_regularizer,randomized_prior_depth,randomized_prior_scale,critic_regularizer_parameter,step,min_q_bias,q_pred_mean
nwydukt8,bias_experiments/unified_awac_pen-cloned-v1_2026-02-24_21-15-48,0.0003,1,1,0.99,False,0.01,pen-cloned-v1,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,pen-cloned-v1,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,4,227.23334095291642,2069.018798828125
nwydukt8,bias_experiments/unified_awac_pen-cloned-v1_2026-02-24_21-15-48,0.0003,1,1,0.99,False,0.01,pen-cloned-v1,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,pen-cloned-v1,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,5,365.9983771739694,2082.5458984375
nwydukt8,bias_experiments/unified_awac_pen-cloned-v1_2026-02-24_21-15-48,0.0003,1,1,0.99,False,0.01,pen-cloned-v1,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,pen-cloned-v1,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,6,588.7938793009696,1870.2457275390625
nwydukt8,bias_experiments/unified_awac_pen-cloned-v1_2026-02-24_21-15-48,0.0003,1,1,0.99,False,0.01,pen-cloned-v1,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,pen-cloned-v1,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,7,293.25076063682195,2172.41943359375
nwydukt8,bias_experiments/unified_awac_pen-cloned-v1_2026-02-24_21-15-48,0.0003,1,1,0.99,False,0.01,pen-cloned-v1,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,pen-cloned-v1,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,8,576.2415200331584,2245.42822265625
nwydukt8,bias_experiments/unified_awac_pen-cloned-v1_2026-02-24_21-15-48,0.0003,1,1,0.99,False,0.01,pen-cloned-v1,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,pen-cloned-v1,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,9,826.2221967644008,2275.766357421875
nwydukt8,bias_experiments/unified_awac_pen-cloned-v1_2026-02-24_21-15-48,0.0003,1,1,0.99,False,0.01,pen-cloned-v1,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,pen-cloned-v1,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,10,361.68095632687516,2330.916015625
nwydukt8,bias_experiments/unified_awac_pen-cloned-v1_2026-02-24_21-15-48,0.0003,1,1,0.99,False,0.01,pen-cloned-v1,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,pen-cloned-v1,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,11,899.3982719105095,2198.95751953125
nwydukt8,bias_experiments/unified_awac_pen-cloned-v1_2026-02-24_21-15-48,0.0003,1,1,0.99,False,0.01,pen-cloned-v1,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,pen-cloned-v1,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,12,730.6377105060252,2123.277587890625
nwydukt8,bias_experiments/unified_awac_pen-cloned-v1_2026-02-24_21-15-48,0.0003,1,1,0.99,False,0.01,pen-cloned-v1,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,pen-cloned-v1,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,13,2093.8869864642274,2149.972412109375
